"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$134,392,535,759","2.13%","0.00","0.00","0.00","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$133,150,689,479","4.39%","0.00","0.00","0.00","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$132,996,819,960","0.98%","0.00","0.00","0.00","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$132,513,410,000","2.46%","0.00","0.00","0.00","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$130,480,000,000","0.00%","0.00","0.00","0.00","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$130,473,025,776","2.32%","0.00","0.00","0.00","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$128,416,740,307","1.78%","0.00","0.00","0.00","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$127,176,367,751","0.97%","0.00","0.00","0.00","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$126,109,990,996","2.35%","0.00","0.00","0.00","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$121,881,360,913","2.48%","0.00","0.00","0.00","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$119,163,334,108","2.00%","0.00","0.00","0.00","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$117,056,160,000","0.94%","0.00","0.00","0.00","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$116,926,386,000","1.94%","0.00","0.00","0.00","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$116,917,910,000","5.07%","0.00","0.00","0.00","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$115,649,204,360","1.28%","0.00","0.00","0.00","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$113,090,661,203","0.00%","0.00","0.00","0.00","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$110,110,067,153","3.25%","0.00","0.00","0.00","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$109,181,637,278","0.72%","0.00","0.00","0.00","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$107,531,654,280","1.59%","0.00","0.00","0.00","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$107,077,114,932","2.56%","0.00","0.00","0.00","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$106,512,695,385","2.73%","0.00","0.00","0.00","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$104,807,671,329","0.00%","0.00","0.00","0.00","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$102,304,142,108","3.37%","0.00","0.00","0.00","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$101,563,439,739","1.34%","0.00","0.00","0.00","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$98,293,998,849","2.67%","0.00","0.00","0.00","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$94,692,929,377","0.00%","0.00","0.00","0.00","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$92,903,027,099","2.09%","0.00","0.00","0.00","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$92,876,791,900","0.38%","0.00","0.00","0.00","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$91,747,029,431","1.43%","0.00","0.00","0.00","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$91,610,317,212","1.14%","0.00","0.00","0.00","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$91,287,427,993","0.96%","0.00","0.00","0.00","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$90,314,939,622","1.49%","0.00","0.00","0.00","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$86,519,217,435","4.49%","0.00","0.00","0.00","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$84,936,667,807","1.31%","0.00","0.00","0.00","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$84,840,863,815","0.00%","0.00","0.00","0.00","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$84,548,219,165","1.82%","0.00","0.00","0.00","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$83,144,885,793","1.25%","0.00","0.00","0.00","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$83,103,044,297","7.62%","0.00","0.00","0.00","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$82,989,957,000","1.05%","0.00","0.00","0.00","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$81,840,927,419","0.00%","0.00","0.00","0.00","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$81,520,071,326","0.00%","0.00","0.00","0.00","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$78,481,040,000","0.00%","0.00","0.00","0.00","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$76,682,850,836","3.94%","0.00","0.00","0.00","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$76,339,896,022","1.45%","0.00","0.00","0.00","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$75,854,975,597","0.00%","0.00","0.00","0.00","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$74,574,088,718","3.89%","0.00","0.00","0.00","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$74,105,058,815","2.31%","0.00","0.00","0.00","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$70,769,981,989","2.54%","0.00","0.00","0.00","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$70,616,089,995","1.30%","0.00","0.00","0.00","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$70,027,317,249","0.86%","0.00","0.00","0.00","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$70,016,463,128","2.00%","0.00","0.00","0.00","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$69,846,465,459","1.39%","0.00","0.00","0.00","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$69,839,067,310","4.64%","0.00","0.00","0.00","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$69,526,362,639","0.56%","0.00","0.00","0.00","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$68,768,303,951","0.00%","0.00","0.00","0.00","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$67,814,921,030","1.56%","0.00","0.00","0.00","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$67,611,722,018","2.24%","0.00","0.00","0.00","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$67,596,699,688","2.00%","0.00","0.00","0.00","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$67,317,673,437","0.90%","0.00","0.00","0.00","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$65,356,363,798","0.00%","0.00","0.00","0.00","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$65,076,094,626","0.95%","0.00","0.00","0.00","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$64,985,453,813","1.29%","0.00","0.00","0.00","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$64,770,861,986","2.38%","0.00","0.00","0.00","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$64,722,471,050","4.20%","0.00","0.00","0.00","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$63,813,971,357","0.00%","0.00","0.00","0.00","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$63,399,713,349","1.80%","0.00","0.00","0.00","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$63,311,596,304","2.20%","0.00","0.00","0.00","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$62,912,251,955","0.72%","0.00","0.00","0.00","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$62,554,782,018","3.66%","0.00","0.00","0.00","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$62,546,279,000","2.04%","0.00","0.00","0.00","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$60,590,611,398","1.39%","0.00","0.00","0.00","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$60,072,418,699","4.18%","0.00","0.00","0.00","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$59,424,740,472","0.62%","0.00","0.00","0.00","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$58,711,853,994","0.80%","0.00","0.00","0.00","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$58,523,776,831","2.63%","0.00","0.00","0.00","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$58,359,981,424","0.00%","0.00","0.00","0.00","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$58,125,059,829","0.62%","0.00","0.00","0.00","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$57,826,849,736","1.41%","0.00","0.00","0.00","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$56,011,494,000","2.15%","0.00","0.00","0.00","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$55,922,258,150","2.04%","0.00","0.00","0.00","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$55,663,417,707","0.83%","0.00","0.00","0.00","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$55,511,901,490","4.70%","0.00","0.00","0.00","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$55,500,551,979","11.11%","0.00","0.00","0.00","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$55,100,563,213","0.97%","0.00","0.00","0.00","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$54,999,465,525","1.21%","0.00","0.00","0.00","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$54,662,804,475","0.52%","0.00","0.00","0.00","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$53,929,650,035","0.47%","0.00","0.00","0.00","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$53,732,574,588","1.99%","0.00","0.00","0.00","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$53,252,576,000","0.96%","0.00","0.00","0.00","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$52,816,105,843","0.00%","0.00","0.00","0.00","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$52,132,986,326","2.59%","0.00","0.00","0.00","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$51,862,289,278","0.00%","0.00","0.00","0.00","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$51,768,179,393","2.38%","0.00","0.00","0.00","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$51,740,310,501","3.77%","0.00","0.00","0.00","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$51,181,469,930","1.71%","0.00","0.00","0.00","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$51,084,030,797","2.26%","0.00","0.00","0.00","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$51,054,024,818","2.76%","0.00","0.00","0.00","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$49,785,350,333","0.63%","0.00","0.00","0.00","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$49,675,201,752","3.24%","0.00","0.00","0.00","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$49,512,693,187","0.00%","0.00","0.00","0.00","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$49,462,784,184","0.00%","0.00","0.00","0.00","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$48,862,464,242","3.95%","0.00","0.00","0.00","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$48,685,844,261","3.67%","0.00","0.00","0.00","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$48,540,385,200","1.63%","0.00","0.00","0.00","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$48,329,961,890","4.54%","0.00","0.00","0.00","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$46,604,336,001","0.00%","0.00","0.00","0.00","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$46,453,079,792","1.02%","0.00","0.00","0.00","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$46,336,042,783","3.22%","0.00","0.00","0.00","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$46,135,169,250","3.33%","0.00","0.00","0.00","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$46,087,050,020","2.05%","0.00","0.00","0.00","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$46,049,922,888","0.57%","0.00","0.00","0.00","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$46,028,464,009","0.92%","0.00","0.00","0.00","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$45,590,271,191","2.07%","0.00","0.00","0.00","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$45,556,009,920","0.90%","0.00","0.00","0.00","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$45,543,695,519","0.00%","0.00","0.00","0.00","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$45,510,316,826","0.55%","0.00","0.00","0.00","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$44,873,347,017","0.00%","0.00","0.00","0.00","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$44,830,665,766","2.19%","0.00","0.00","0.00","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$44,608,144,129","1.18%","0.00","0.00","0.00","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$44,271,345,472","2.23%","0.00","0.00","0.00","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$44,069,052,076","1.91%","0.00","0.00","0.00","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,052,406,440","0.00%","0.00","0.00","0.00","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$43,406,648,625","2.49%","0.00","0.00","0.00","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$43,094,568,503","0.00%","0.00","0.00","0.00","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$42,840,246,894","1.38%","0.00","0.00","0.00","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$42,664,758,014","2.26%","0.00","0.00","0.00","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$42,485,160,625","1.88%","0.00","0.00","0.00","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$42,146,008,038","1.37%","0.00","0.00","0.00","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$42,070,010,179","0.00%","0.00","0.00","0.00","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,045,225,289","3.15%","0.00","0.00","0.00","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$42,000,225,000","5.04%","0.00","0.00","0.00","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$41,843,909,720","0.00%","0.00","0.00","0.00","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$41,716,487,290","0.00%","0.00","0.00","0.00","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$41,550,731,963","1.02%","0.00","0.00","0.00","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$41,490,673,058","2.04%","0.00","0.00","0.00","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$41,377,155,253","1.53%","0.00","0.00","0.00","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$41,167,702,788","4.90%","0.00","0.00","0.00","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$41,079,659,739","2.58%","0.00","0.00","0.00","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$40,894,526,400","1.05%","0.00","0.00","0.00","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$40,549,266,961","5.97%","0.00","0.00","0.00","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$40,393,596,645","1.52%","0.00","0.00","0.00","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$40,311,778,168","0.00%","0.00","0.00","0.00","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$40,037,164,954","1.07%","0.00","0.00","0.00","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$40,011,066,266","0.91%","0.00","0.00","0.00","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$39,868,170,944","4.58%","0.00","0.00","0.00","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$39,767,634,677","1.27%","0.00","0.00","0.00","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$38,734,384,804","0.00%","0.00","0.00","0.00","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$38,576,345,377","0.00%","0.00","0.00","0.00","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$38,562,547,238","1.78%","0.00","0.00","0.00","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$38,430,247,758","1.33%","0.00","0.00","0.00","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$38,334,393,995","5.54%","0.00","0.00","0.00","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$38,178,360,000","4.60%","0.00","0.00","0.00","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$37,689,003,920","2.76%","0.00","0.00","0.00","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$37,502,177,796","1.70%","0.00","0.00","0.00","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$37,456,530,716","4.58%","0.00","0.00","0.00","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$36,338,233,912","1.32%","0.00","0.00","0.00","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$36,327,652,203","0.33%","0.00","0.00","0.00","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$36,132,102,572","1.76%","0.00","0.00","0.00","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$36,057,368,525","3.14%","0.00","0.00","0.00","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$36,026,146,066","1.38%","0.00","0.00","0.00","Analyze"
